DT,NDVI,P,ET,LST
2003-04-30,0.6338,133.7056,33.6667,26.8011
2003-05-10,0.7004,49.2936,40.8871,25.3034
2003-05-20,0.743,65.8545,42.3592,23.9954
2003-05-31,0.7599,62.7066,45.9337,25.0869
2003-06-10,0.7393,14.5228,44.4917,23.5791
2003-06-20,0.711,9.6344,43.5543,23.6585
2003-06-30,0.6783,8.5386,43.6349,24.648000000000003
2003-07-10,0.6376,6.6262,44.0871,26.0495
2003-07-20,0.5889,7.5293,45.864,25.8804
2003-07-31,0.5585,6.9707,52.9375,27.66
2003-08-10,0.5416,5.7575,46.0223,27.5854
2003-08-20,0.5587,20.6083,47.1707,28.0447
2003-08-31,0.5931,21.4185,54.6046,29.9241
2003-09-10,0.6104,26.7981,51.6238,29.5404
2003-09-20,0.6117,12.3289,56.5867,31.9809
2003-09-30,0.6057,15.6775,52.6539,30.6773
2003-10-10,0.6189,21.6562,46.5269,30.5425
2003-10-20,0.6405,54.8106,49.2251,28.7981
2003-10-31,0.6611,22.2615,60.2604,27.8355
2003-11-10,0.6654,17.0948,44.1122,29.3561
2003-11-20,0.6649,11.012,45.4363,27.9527
2003-11-30,0.6586,34.2493,42.6432,30.0013
2003-12-10,0.6539,22.0484,39.935,27.799
2003-12-20,0.6421,3.5129,48.1063,30.3401
2003-12-31,0.6204,4.0574,55.5732,34.2715
2004-01-10,0.5932,6.1342,53.9151,34.1834
2004-01-20,0.5735,16.6582,47.8859,31.3066
2004-01-31,0.5628,17.8204,55.2168,32.7497
2004-02-10,0.556,5.1682,49.1567,33.1681
2004-02-20,0.5398,3.7284,62.0678,38.6599
2004-02-28,0.5075,3.5308,58.9434,39.8084
2004-03-10,0.4746,8.1935,66.7032,40.1064
2004-03-20,0.4583,7.9885,57.1173,36.5019
2004-03-31,0.4811,12.4409,68.1196,38.5335
2004-04-10,0.5491,96.536,42.2067,30.4302
2004-04-20,0.6461,86.3786,38.8903,27.3466
2004-04-30,0.7268,38.8182,45.9254,27.2065
2004-05-10,0.7565,51.5838,43.8421,25.4088
2004-05-20,0.7477,15.3755,52.3934,25.9328
2004-05-31,0.7115,20.4002,52.4653,24.2592
2004-06-10,0.6748,6.6822,47.4826,24.4271
2004-06-20,0.6381,7.79,47.718999999999994,25.8155
2004-06-30,0.6039,5.2974,50.1807,26.484
2004-07-10,0.5743,4.7909,48.5716,30.0016
2004-07-20,0.5506,5.3431,48.7059,28.2764
2004-07-31,0.5323,15.837,54.7635,29.8815
2004-08-10,0.5252,8.1066,49.0767,29.4929
2004-08-20,0.5244,8.9542,53.1626,31.4398
2004-08-31,0.5217,9.6,59.1996,30.9871
2004-09-10,0.5182,22.905,56.6139,34.3964
2004-09-20,0.5174,17.8383,54.5201,32.9331
2004-09-30,0.5348,28.116999999999997,47.1001,32.2804
2004-10-10,0.5801,27.6569,47.1342,30.7267
2004-10-20,0.6419,42.2815,40.8047,28.2397
2004-10-31,0.6958,32.8183,52.2798,31.1049
2004-11-10,0.7205,35.2354,44.4807,25.9874
2004-11-20,0.7283,38.1894,41.6638,26.4549
2004-11-30,0.7247,38.0261,41.6686,27.1615
2004-12-10,0.7051,4.3047,46.475,29.6154
